family,scientific.name,life.form,status,number of records,vouchers
Apocynaceae,Himatanthus articulatus (Vahl) Woodson,tree,probable occurrence in the AF,624,"Cid Ferreira, C.A., 3233 (R 194858); Cooper, G.P., s.n. (G 174481/1); Ducke, A., s.n. (RB 17474); Ducke, A., s.n. (RB 17475); Ducke, A., s.n. (RB 21588); Ducke, A., s.n. (RB 21783); Ducke, A., s.n. (RB 53239); Farias, L.G., s.n. (MSB 7946/ 587258 / 257964); Machado, O., 354 (RB 205107); Martius, C.F.P., s.n. (MSB 183342/ 587391 / 258097); Martius, C.F.P., s.n. (MSB 183359/ 587408 / 258114); Poeppig, E.F., 2763 (F 77640); Poeppig, E.F., s.n. (NY 311829); Prance, G.T., 9487 (COL 127042, G 164716, INPA 26624, MG 039826, MO 100276857, NY 1043220, R 123593, US 2575784A); Prance, G.T., 9487 (MG 039826); Prance, G.T., s.n. (G 174476/1); Prance, G.T., s.n. (MG 39826); Rodrigues, E., s.n. (SP 304210); Rohr, J.P.B., s.n. (BM 567189); Anonymous, s.n. (RB 21609); Spruce, R., 1848 (B 4393); Spruce, R., 1848 (BM 567199, F 77643F); Spruce, R., 1848 (E 259700); Spruce, R., s.n. (LD 1069766); Spruce, R., s.n. (NY 311830); Spruce, R., s.n. (P 646532); Spruce, R., s.n. (P 646533); Vasconcelos, J.R., s.n. (TEPB 2610); Vasconcelos, J.R., s.n. (TEPB 2680); Zanin, M.A.S., s.n. (MBM 403161)"
Apocynaceae,Lacmellea aculeata (Ducke) Monach.,tree,no records found but cited in BF.2020,207,"Anonymous, 8221 (BM 901468); B.W., 4393 (NY 743399); Boschwezen, B.V.H., 4393 (MO 3492589); Bureau, F., 4393 (BR 6958220); Ducke, A., 14972 (F 48235F, RB 264338, US 1040610); Ducke, A., 15449 (F 361519); Ducke, A., 15744 (F 48242); Ducke, A., 8221 (F 48238); Ducke, A., s.n. (MG 015744); Ducke, A., s.n. (MG 15744); Ducke, W.A., 14972 (BM 901462); Ducke, W.A., 15449 (BM 901463); Goeldi, P.M., s.n. (MG 008221); Goeldi, P.M., s.n. (MG 8221); Guedes, M., 2134 (BM 901469); Guedes, M., 2134 (F 48234F, US 1040261); Guedes, M., s.n. (MG 002067); Guedes, M., s.n. (MG 002134); Guedes, M., s.n. (MG 2067); Guedes, M., s.n. (MG 2134); Huber, J., 1290 (BM 901467); Huber, J., s.n. (MG 001290); Huber, J., s.n. (MG 1290); Rodrigues, R.S., 2635 (F 48241); Rodrigues, R.S., 8803 (F 48240); Rodrigues, R.S., s.n. (MG 008803); Rodrigues, R.S., s.n. (MG 8803); Anonymous, 8221 (RB 535138); Sigueria, R., 2635 (BM 901471); Sigueria, R., 8803 (BM 901472)"
Aquifoliaceae,Ilex divaricata Mart. ex Reissek,tree,probable occurrence in the AF,87,"Castano-A., N., 10661 (COAH 31); Ferreira, C.A.C., 13095 (INPA 253117); Huber, O., 1811 (INPA 114389); Huber, O., 2006 (INPA 114392, MO 2847458); Huber, O., 2351 (INPA 136765, US 2904622); Huber, O., 2773 (INPA 136770, US 2913267); Huber, O., 5012 (INPA 136782, US 2899660, US 2899661); Huber, O., 6042 (INPA 136812, US 2919695); Maguire, B., 34553 (RB 47743); Maguire, B., 36228 (RB 47721); Prance, G.T., 1298 (K 1033957, MO 2847843, US 2821238); Prance, G.T., 28831 (K 1033947, MO 100138797, RB 382112); Prance, G.T., 9585 (INPA 26722, K 1033958, MO 2847382, US 2821242); Ratter, J.A., 3578 (NY 838112); Sellow, 2039 (K 588490); Sellow, F., 2039 (B 13247); Silva, J.M., 1808 (BHCB 61474, ESA 71980, K 1046401); Thomas, W.W., 3860 (K 1033956, MO 100138803, NY 1023330); Ule, E.H.G., s.n. (G 360498/1); Williams, L., 15070-a (US 1877404); Williams, L., 15070 (F 64451F, RB 108576)"
Aquifoliaceae,Ilex oligoneura Loes.,tree,no records found but cited in BF.2020,2,"Schwacke, C.A.W., 7489 (BHCB 54400); Sellow, F., 2033 (B 13231)"
Aquifoliaceae,Ilex sapotifolia Reissek,tree,no records found but cited in BF.2020,9,"Araujo, G.M., 2650 (HUFU 20428); Expedition, T.R., s.n. (B 13244); Ferraz, E.M.N., 582 (PEUFR 26328, SPF 142518); Ferraz, E.M.N., 920 (PEUFR 32250); Lucena, M.F.A., 270 (PEUFR 41764, UFP 35928); Nascimento, L.M., 199 (IPA 59978, JPB 27539, PEUFR 33400, SPF 142517); Tamashiro, J.Y., 1646 (ESA 16097, ESA 16100, FUEL 13424, HUFU 7590, UEC 26192); Widgren J.F., 471 (BR 6961787); Widgren J.F., 471 (BR 6962432)"
Araceae,Anthurium santaritense Nadruz & Croat,tree,no records found but cited in BF.2020,1,"Leoni, L.S., 5245 (MO 2801854)"
Araliaceae,Schefflera umbellata (N.E.Br.) R.Vig.,tree,probable occurrence in the AF,9,"Brown, N.E., 666 (K 588156); Fiaschi, P., 3189 (NY 03227303); Fiaschi, P., 3204 (NY 03227304); Harley, R.M., 27774 (CEPEC 121165, CEPEC 47179, SPF 78945); Huber, O., 9092 (MO 3350511, NY 3227310, US 3095691); Liesner, R., 23329 (K 588157); Mcconnell, 666 (BM 1008648); Pinkus, A.S., 153 (NY 3227309, US 1776016); Steyermark, J.A., 112445 (MO 3355912, NY 3227308)"
Arecaceae,Attalea vitrivir Zona,tree,probable occurrence in the AF,12,"Balick, M.J., 1686 (CEN 34938); Balick, M.J., 1696 (CEN 34937); Burret, M., 19 (B 100423306, B 100423307, RB 35273); Noblick, L.R., 4515 (CEPEC 55395, HUEFS 5626, NY 2384495, NY 568115); Noblick, L.R., 4526 (CEPEC 55196, HUEFS 5637, NY 568109, RB 382148, US 3487383, US 3487384); Noblick, L.R., 4614 (NY 568117); Noblick, L.R., 4622 (NY 568110); Noblick, L.R., 4645 (CEN 38248, CEPEC 44622, NY 568111); Noblick, L.R., 4663 (CEPEC 44649, NY 568108); Noblick, L.R., 4679 (NY 568107); Noblick, L.R., s.n. (FTG 95190); Vieira, J.G.A., 420 (CEN 10759, NY 2384496)"
Arecaceae,Geonoma deversa (Poit.) Kunth,tree,probable occurrence in the AF,624,"Galeano, G.A., 2112 (MO 100393062, NY 1043413); Killip, E.P., 26594 (F 43730F, MO 100392737, NY 67481, US 1460484); Luetzelburg, P(no. ), s.n. (MSB 208711/ 623492 / 281048); Luetzelburg, P(no. ), s.n. (MSB 208712/ 623493 / 281049); Luetzelburg, P(no. ), s.n. (MSB 208713/ 623494 / 281050); Luetzelburg, P(no. ), s.n. (MSB 208714/ 623495 / 281051); Luetzelburg, P(no. ), s.n. (MSB 208715/ 623496 / 281052); Luetzelburg, P., 22089 (R 44519); Luetzelburg, P., 22273 (R 44521); Martius, C.F.P., s.n. (MSB 208803/ 623584 / 281140); Martius, C.F.P., s.n. (MSB 208804/ 623585 / 281141); Martius, C.F.P., s.n. (MSB 208805/ 623586 / 281142); Martius, C.F.P., s.n. (MSB 208806/ 623587 / 281143); Martius, C.F.P., s.n. (MSB 208807/ 623588 / 281144); Martius, C.F.P., s.n. (MSB 208808/ 623589 / 281145); Martius, C.F.P., s.n. (MSB 208809/ 623590 / 281146); Martius, C.F.P., s.n. (MSB 208810/ 623591 / 281147); Martius, C.F.P., s.n. (MSB 208811/ 623592 / 281148); Oersted, A.S., s.n. (MO 100629697); Poiteau, P.A., s.n. (G 171737/1); Poiteau, P.A., s.n. (P 725285); Poiteau, P.A., s.n. (P 725286); Poiteau, P.A., s.n. (P 725287); Spruce, R., 41 (MO 100392720); Spruce, R., s.n. (P 725368); Spruce, R., s.n. (P 725369); Spruce, R., s.n. (P 725370); Ule, E., s.n. (MG 5783); Ule, E.H.G., 5882 (G 164102, HBG 522344, HBG 522345, MG 005783); Ule, E.H.G., s.n. (G 171741/1)"
Arecaceae,Mauritiella armata (Mart.) Burret,tree,probable occurrence in the AF,218,"Martius, C.F.P., s.n. (MSB 208459/ 623241 / 280797); Martius, C.F.P., s.n. (MSB 208461/ 623243 / 280799); Martius, C.F.P., s.n. (MSB 208471/ 623253 / 280809); Martius, C.F.P., s.n. (MSB 208472/ 623254 / 280810); Martius, C.F.P., s.n. (MSB 208473/ 623255 / 280811); s.c., s.n. (P 731478)"
Arecaceae,Syagrus loefgrenii Glassman,shrub,probable occurrence in the AF,25,"Arantes, A.A., 151 (HUFU 5266); Barreto, K.D., 1333 (ESA 15212, MBML 7624); Battaglia, B., s.n. (ESA 51402); Bicudo, L.R.H., 1759 (HRCB 16373); Camargo, R.A., s.n. (HRCB 4170); Cesar, O., 252 (HRCB 4520); Cesar, O., 262 (HRCB 5655); Cesar, O., 807 (HRCB 11759); Cesar, O., s.n. (HRCB 3538); Cunha, N.M.L., 67 (HRCB 8207); Eiten, G., 2955 (SP 140037, UB 193570); Elias De Paula, J., 117 (SP 82715); Ferri, M.G., s.n. (SP 49327); Glassman, S.F., 8011 (RB 382245); Glassman, S.F., 8012 (SP 107872, SP 107872A); Goodland, R., 380 (NY 567945); Goodland, R., 725 (NY 664159); Goodland, R., 900 (NY 664158); Kuhlmann, M., 3964 (SP 77156); Kuhlmann, M., s.n. (SP 120542); Loefgren, A., CGG573 (SP 12260); Noblick, L.R., 4888 (MO 1953933, NY 567944, NY 568337, RB 673035, US 3243103, US 3243104, US 3243105); Noblick, L.R., 5630 (ESA 132567, HPL 13727, NY 2681339, RB 621923); Recchia, G.H., s.n. (ESA 51570); Vieira, R.C., 201 (HUFU 235)"
Arecaceae,Syagrus werdermannii Burret,shrub,probable occurrence in the AF,19,"Abrahao, G.F.E., 0 (MBML 5813); Carvalho, A.M., 1790 (CEPEC 31890, US 2960384); Carvalho, A.M., 3728 (CEPEC 54813); Glassman, S., 8734 (CEPEC 55211); Glassman, S.F., 8728 (F 92095); Glassman, S.F., 8729 (IPA 57821); Glassman, S.F., 8730 (US 3646938, US 3646939); Glassman, S.F., 8731 (CEN 13679); Glassman, S.F., 8731 (NY 568010); Glassman, S.F., 8732 (MO 1954390); Glassman, S.F., 8738 (ALCB 26373, K 202948); Medeiros, B.A.S., 5 (SPF 196613); Noblick, L.R., 3769 (HUEFS 4543, IPA 57819); Noblick, L.R., 4519 (CEN 13661, CEPEC 55194, HUEFS 5630, MO 1954389, NY 567968, RB 382246); Nogueira, M.V.C., 23 (HUEFS 185608); Pereira-Silva, G., 9070 (HUEFS 91098); Roque, N., 4434 (ALCB 115509); Salviani, E.R., 198 (HPL 1361); Tsuji, R., 2566 (HPL 10287)"
Arecaceae,Trithrinax acanthocoma Drude,tree,no records found but cited in BF.2020,4,"Glaziou, A.F.M., 9014 (F 75110); Quingerski, N.F., s.n. (MBM 400315); Quingerski, N.F., s.n. (MBM 400316); Quingerski, N.F., s.n. (MBM 400317)"
Asteraceae,Acritopappus catolesensis D.J.N.Hind & Bautista,tree,probable occurrence in the AF,13,"Forzza, R.C., 3857 (RB 415059); Ganev, W., 1621 (HUEFS 12886, HUEFS 66424, K 54754, RB 366028, US 3404157); Ganev, W., 1717 (HUEFS 12982, HUEFS 66423, K 54753, US 3404158); Ganev, W., 1763 (HUEFS 13028, HUEFS 66422, K 54755, US 3404159); Ganev, W., 2889 (HUEFS 16487, K 54749, US 3409951); Harley, R.M., 27778 (CEPEC 47341, K 54752, US 3409949); Hind, D.J.N., 51222 (MO 1814590); Hind, D.J.N., 51333 (K 54756, K 6568); Hind, D.J.N., H-51333 (R 212050, US 3404156); Hind, D.J.N., H51333 (HUEFS 66425, HUEFS 66426, SP 359590, SPF 92094); Hind, D.J.N., s.n. (TEX 00374492); M.L.Guedes, Sanches, F.G., 14770 (ALCB 88757, US 3713365); Stannard, B., H51053 (K 54751, K 6567, US 3409953)"
Asteraceae,Acritopappus irwinii R.M.King & H.Rob.,shrub,probable occurrence in the AF,14,"Bautista, H.P., 2683 (ASE 38615, HUFU 74683, IPA 80679); Brandao, M., 21211 (HUFU 78217); Duarte, A.P., 7752 (ALCB 106640, NY 846967, RB 117958, US 3062698); Harley, R.M., 24878 (MBM 151342, US 3256902); Irwin, H.S., 23520 (NY 431314, RB 145356, UB 122324, US 2630895); Irwin, H.S., 23621 (NY 431312, RB 144839, UB 11711, US 2630868); King, R.M., 8356 (US 2901911); Munhoz, C.B.R., 7175 (IBGE 77114, SP 454156, UB 163187); Pirani, J.R., CFCR840 (K 941914); Pirani, J.R., CFCR9000 (K 941913); Souza, R., 23621 (K 488619); Verdi, M., 7148 (HUFU 72404, RB 875699); Zappi, D.C., 1696 (SPF 220368); Zappi, D.C., CFCR13190 (K 941912)"
Asteraceae,Acritopappus subtomentosus R.M.King & H.Rob.,tree?,probable occurrence in the AF,6,"Irwin, H.S., 28506 (MG 098944); Irwin, H.S., 28506 (MG 098944, MO 1485139, NY 149910, RB 154840, UB 1498, US 2818892, US 2858832); Irwin, H.S., 28506 (NY 149910); Irwin, H.S., s.n. (MG 98944); Munhoz, C.B.R., 7350 (SP 454157, UB 163367); Ramos, J., 28506 (K 488620)"
Asteraceae,Acritopappus teixeirae R.M.King & H.Rob.,shrub,probable occurrence in the AF,3,"Harley, R.M., 20075 (CEPEC 17420, HUEFS 66443, IPA 24852, K 69694, K 69695, NY 149911, US 2851643); King, R.M., 8043 (CEPEC 17276); M.L.Guedes, Sanches, F.G., 14764 (ALCB 88751, US 3713359)"
Asteraceae,Anteremanthus piranii Roque & F.A. Santana,tree,probable occurrence in the AF,6,"Alves, LJ., s.n. (ALCB 110695); Ogasawara, H.A., 311 (ALCB 106551); Roque, N., 3703 (HUEFS 210983); Roque, N., 3809 (HUEFS 210982); Roque, N., 4408 (ALCB 115483); Santana, F.A., 208 (ALCB 113420)"
Asteraceae,Eremanthus leucodendron Mattf.,tree,probable occurrence in the AF,15,"Ganev, W., 2057 (K 54618); Ganev, W., 2449 (K 68885, US 3319384); Ganev, W., 370 (K 68893, US 3254221); Ganev, W., 727 (K 68894, SP 356819, US 3254203); Giulietti, A.M., 74689 (K 1066218); Harley, R.H., 15166 (RB 653517); Harley, R.M., 4277 (CEPEC 75631); Harley, R.M., 4469 (CEPEC 79122); Hind, D.J.N., PCD4277 (K 68886); Hind, D.J.N., PCD4469 (K 68887); Luetzelburg, P(no. ), s.n. (MSB 29446/ 477810 / 192393); Luetzelburg, P(no. a), s.n. (MSB 29447/ 177075 / 119289); Luetzelburg, P., s.n. (M -29447); Moraes, M.D., 503 (UEC 111366); Renvoize, S.A., 15462 (K 68891, K 68892)"
Asteraceae,"Heterocoma erecta (H. Rob.) Loeuille, J. N. Nakaj. & Semir",shrub,probable occurrence in the AF,7,"King, R.M. (no. ), s.n. (MSB 29438/ 176766 / 119005); King, R.M., 8729 (HUEFS 66484, K 69058, K 69059, MO 1798808, UB 1501, US 2922445); N. Roque, A. Quaresma, I. Franco, 3073 (ALCB 106010, US 3653917); Quaresma, A.S., 233 (HUEFS 192900); Rocha, F.F., 17 (HUEFS 44027); Roque, N., 2047/88898 (US 3602320); Roque, N., 2705 (ALCB 93422, HUFU 68204, MG 198502, RB 604020, SP 425949, SPF 212334, UB 139541, UEC 156659, US 3580443)"
Asteraceae,Lychnophora crispa Mattf.,tree,probable occurrence in the AF,6,"Harley, R.M., PCD4427 (HUEFS 28803); King, R.M., 8618 (MO 3355530, UB 202193, US 2922475); Luetzelburg, P(no. ), s.n. (MSB 29458/ 177920 / 120057); Luetzelburg, P., s.n. (M -29458); Roque, N., 2979 (ALCB 98994, US 3633821); Roque, N., 4081 (ALCB 112108)"
Asteraceae,Lychnophora markgravii G.M.Barroso,tree,probable occurrence in the AF,30,"Aona, L.Y.S., 701 (UEC 119141); Borba, E.L., 512A (UEC 96743); Carvalho, A.M., 6554 (CEPEC 80412, NY 894819); Duarte, A.P., 13263 (MBM 55120, NY 1843343, RB 205405, UEC 27976); Giulietti, A.M., 3564 (RB 663983); Giulietti, A.M., CFCR3564 (UEC 132097); Hatschbach, G., 41221 (MBM 57043, NY 860257, US 2985422); Hatschbach, G., 41478 (MBM 58554, NY 1843344); Hatschbach, G., 52025 (MBM 121644, US 3118574); Hatschbach, G., 64754 (MBM 190877, MO 3353125, US 3334261); Hatschbach, G., 67984 (HUFU 24559, INPA 200488, MBM 227228, US 3406246); Hatschbach, G., 72048A,B (HEPH 17312); Hatschbach, G., 77516 (MBM 306166); Hatschbach, G.M., 72048 (ASU 22098, ASU 22099, BHCB 71191, HUCS 18470, HUFU 57089, MBM 258397, RB 662495, SPSF 29069, UPCB 45170, US 3407294); Loeuille, B., 636 (SPF 214752); Mansanares, M.E., 285 (UEC 126468); Mansanares, M.E., 304 (UEC 126474); Markgraf, 3480 (RB 39708); Martinelli, G., 5828 (RB 193406); Mello-Silva, R., 3006 (RB 482583); Mello-Silva, R., 446 (UEC 60465); Mello-Silva, R., 516 (ALCB 30565, UEC 60464); Nakajima, J.N., 3112 (HUFU 24886, HUFU 24886B, UEC 135501); Nakajima, J.N., 4710 (HUFU 51194); Pirani, J.R., 4635 (BHCB 83971, K 989940, K 989941, NY 894818); Rapini, A., 741 (UB 124225); Scatigna, A.V., 88 (UEC 202028); Semir, J., s.n. (BHCB 60995); Souza, V.C., 22568 (HUSC 8446, K 989942, UEC 112473); Souza, V.C., 25660 (UEC 134901)"
Asteraceae,Lychnophora rupestris Semir,shrub,probable occurrence in the AF,81,"Borges, L.M., 29 (K 997564); Hatschbach, G., 28680 (MBM 33556); Kinoshita, L.S., 346 (UEC 125446); Lewinsohn, T.M., 18114 (UEC 43566); Lewis, G., 7761 (UEC 27838); Loeuille, B., 490 (K 997563); Mansanares, M.E., 01 (UEC 109076); Mello Barreto, H.L., 3741 (UEC 176622); Semir, J., 581 (UEC 3152, UEC 3157); Stehmann, J.R., 18880 (UEC 74790)"
Asteraceae,Lychnophora santosii H.Rob.,shrub,probable occurrence in the AF,9,"Ganev, W., 2922 (K 69229, US 3497982); Giulietti, A.M., 1445 (HRCB 48356); Harley, R.M., 24495 (CEPEC 96927); Harley, R.M., 26329 (CEPEC 48944, K 69231, K 69232, MBM 151358, MO 3353907, RB 311462, SP 251976, UB 124233, UEC 198900, US 3255396); King, R.M., 8114 (CEPEC 18722, K 69234, MO 100309097, RB 327466, S 3337, US 2855857); Mori, S.A., 13595 (CEPEC 20738, NY 1843330, RB 214325, US 2904796); Sano, P.T., 14631 (MO 3354173); Sano, P.T., CFCR14631 (K 69224); Siniscalchi, C.M., 354 (SPF 222660)"
